Date;sxxe;sxxt;sxxgt
2011-12-02 00:00:00;74.6527435721;88.3623957544;92.8346456693
2011-12-05 00:00:00;75.5656257183;89.4427596664;93.9595050619
2011-12-06 00:00:00;75.0861984041;88.8741470811;93.3745781777
2011-12-07 00:00:00;74.7085673004;88.4287338893;92.9021372328
2011-12-08 00:00:00;72.9517617312;86.3485595148;90.7199100112
2011-12-09 00:00:00;74.4031786688;88.0686125853;92.5196850394
2011-12-12 00:00:00;72.2523232522;85.5335481425;89.8650168729
2011-12-13 00:00:00;72.0750008209;85.3274260804;89.6512935883
2011-12-14 00:00:00;70.3477489902;83.2827899924;87.5028121485
2011-12-15 00:00:00;70.965093751;84.0125094769;88.2677165354
2011-12-16 00:00:00;70.5841788986;83.5623578469;87.7952755906
2011-12-19 00:00:00;70.5447739139;83.5599886277;87.8065241845
2011-12-20 00:00:00;72.5314418941;85.9126231994;90.2812148481
2011-12-21 00:00:00;71.953502118;85.230288097;89.5613048369
2011-12-22 00:00:00;72.8105605359;86.2466830933;90.6299212598
2011-12-23 00:00:00;73.3687978196;86.9100644428;91.3273340832
2011-12-27 00:00:00;73.3720815683;86.914802881;91.3385826772
2011-12-28 00:00:00;72.4690506682;85.8439158453;90.2137232846
2011-12-29 00:00:00;73.4443240403;86.9977255497;91.4173228346
2011-12-30 00:00:00;74.1404787706;87.8293214556;92.2947131609
2012-01-02 00:00:00;75.7495156471;89.7365428355;94.2969628796
2012-01-03 00:00:00;76.4226841362;90.5515542077;95.1631046119
2012-01-04 00:00:00;75.3488983023;89.2816527672;93.8245219348
2012-01-05 00:00:00;74.3309361968;88.0733510235;92.5534308211
2012-01-06 00:00:00;74.0288313138;87.7155989386;92.1822272216
2012-01-09 00:00:00;73.6807539487;87.3057240334;91.7547806524
2012-01-10 00:00:00;75.4080057794;89.388267627;93.9482564679
2012-01-11 00:00:00;75.2733720816;89.2295299469;93.7795275591
2012-01-12 00:00:00;75.545923226;89.5517437453;94.1282339708
2012-01-13 00:00:00;75.2668045841;89.2200530705;93.7795275591
2012-01-16 00:00:00;75.9695268118;90.0895564822;94.701912261
2012-01-17 00:00:00;77.0170426559;91.3310272934;96.0067491564
2012-01-18 00:00:00;76.9776376712;91.2860121304;95.9505061867
2012-01-19 00:00:00;78.3338258956;92.8923426839;97.6490438695
2012-01-20 00:00:00;78.172922208;92.7051743745;97.4465691789
2012-01-23 00:00:00;78.7213082455;93.3590788476;98.1327334083
2012-01-24 00:00:00;78.2615834236;92.8165276725;97.570303712
