,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
33495,2023-12-18,2034,US03E3,US43289P1066,HIMAX TECHNOLOGIES ADR,TW,USD,10102010.0,1.0,997405782.0,0.0007217114198765249,B126TB6
33496,2023-12-18,2034,IN03X5,INE510A01028,Engineer India,IN,INR,50101015.0,1.0,556190920.0,0.0004024533904252329,6374798
33497,2023-12-18,2034,CN2DFT,VGG0542G1028,ASIAINFO TECHNOLOGIES,CN,HKD,10101015.0,1.0,380884838.0,0.0002756039138766695,BGSZJN4
33498,2023-12-18,2034,BR05OV,BRBPANACNPR1,BANCO PAN PN,BR,BRL,30101010.0,1.0,565478278.0,0.00040917361648572465,BPY3V40
33499,2023-12-18,2034,TW0830,TW0006282007,AcBel Polytech,TW,TWD,50202010.0,1.0,731152287.0,0.0005290534351411434,6676450
33500,2023-12-18,2034,IN80P2,INE634I01029,KNR CONSTRUCTIONS,IN,INR,50101015.0,1.0,497593457.0,0.0003600529361807315,BDRKN48
33501,2023-12-18,2034,BR16GP,BRUNIPACNPB8,UNIPAR PARTICIPACOES B PN,BR,BRL,55201020.0,1.0,793616163.0,0.0005742515816252704,2905879
33502,2023-12-18,2034,PL702J,PLXTRDM00011,XTB SA,PL,PLN,30202015.0,1.0,425593089.0,0.0003079542931222212,BZ059D5
33503,2023-12-18,2034,IN503D,INE001B01026,KRBL,IN,INR,45102030.0,1.0,369721336.0,0.0002675261314689328,B02VC93
33504,2023-12-18,2034,TH409N,TH4984010009,MEGA LIFESCIENCES,TH,THB,20103015.0,1.0,435896966.0,0.00031541006070860065,BGLZX73
33505,2023-12-18,2034,TW06VQ,TW0003592002,RAYDIUM SEMI- CONDUCTOR,TW,TWD,10102010.0,1.0,815776109.0,0.0005902862651820248,B28XZG5
33506,2023-12-18,2034,TH219M,TH0371010Z05,SUPALAI,TH,THB,35101010.0,0.2523898,164436806.0,0.00011898459271035254,6554697
33507,2023-12-18,2034,IN30Z7,INE813A01018,MAHINDRA LIFESPACE DVPR.,IN,INR,35101010.0,1.0,487292376.0,0.00035259919174798353,6238258
33508,2023-12-18,2034,513082,TRAAKCNS91F3,AKCANSA CIMENTO,TR,TRY,50101030.0,1.0,165254988.0,0.00011957661985075408,B03MN81
33509,2023-12-18,2034,KR404J,KR7192820009,COSMAX,KR,KRW,40204035.0,1.0,785088225.0,0.0005680808631938437,BKF2806
33510,2023-12-18,2034,645514,HK0165000859,China Everbright Ltd.,CN,HKD,30202010.0,1.0,481309116.0,0.0003482697732224246,6455143
33511,2023-12-18,2034,TR106R,TREEGYO00017,EMLAK KONUT GAYRIMENKUL YATIRI,TR,TRY,35102040.0,1.0,484271777.0,0.0003504135208480252,B586565
33512,2023-12-18,2034,ID4043,ID1000103609,BANK KB BUKOPIN,ID,IDR,30101010.0,1.0,173135059.0,0.00012527854912845884,B18THH1
33513,2023-12-18,2034,TW02E5,TW0002106002,Kenda Rubber,TW,TWD,40101015.0,1.0,780467418.0,0.0005647373000812876,6489636
33514,2023-12-18,2034,KR232I,KR7365340009,SUNGEEL HITECH,KR,KRW,50202010.0,1.0,606035656.0,0.00043852047148806405,BP2SMJ9
33515,2023-12-18,2034,401224,TRAAKSAW91E1,AKSA AKRILIK KIMYAI,TR,TRY,55101020.0,1.0,350209052.0,0.0002534072658629642,B03MNB4
33516,2023-12-18,2034,CN26AH,BMG8165U1009,SINOPEC KANTONS HOLDINGS,CN,HKD,60101035.0,1.0,397240444.0,0.00028743864337415803,6162692
33517,2023-12-18,2034,ID7057,ID1000130305,INDUSTRI JAMU DAN FARMASI,ID,IDR,45102020.0,1.0,235853184.0,0.00017066066728199425,BH7HMM8
33518,2023-12-18,2034,IN068J,INE780C01023,JM Financial,IN,INR,30202000.0,1.0,607019700.0,0.0004392325144752592,6330637
33519,2023-12-18,2034,TW9020,TW0004766001,NAN PAO RESINS CHEMICAL,TW,TWD,55201020.0,1.0,493439522.0,0.00035704719630932897,BZ3C814
33520,2023-12-18,2034,QA20XZ,QA000A0KD6M9,UNITED DEVELOPMENT,QA,QAR,35101010.0,0.7364164,412984071.0,0.0002988305518643941,6651093
33521,2023-12-18,2034,TW07D9,TW0005469001,HANNSTAR BOARD,TW,TWD,10102015.0,1.0,607799959.0,0.00043979710096645863,6328933
33522,2023-12-18,2034,CN870E,US4234031049,HELLO GROUP ADR CL A,CN,USD,10101020.0,1.0,901437874.0,0.0006522701389102395,BM9STM3
33523,2023-12-18,2034,KR509P,KR7222800005,SIMMTECH,KR,KRW,10102010.0,1.0,534492350.0,0.0003867525532668714,BYXZWS1
33524,2023-12-18,2034,SA21W1,SA0007879915,ARABIAN CEMENT,SA,SAR,50101030.0,0.4540745,393604524.0,0.00028480773323395845,B137W42
